loss,accuracy,val_loss,val_accuracy,lr
0.5118371844291687,0.7734375,0.4002178907394409,0.8277592062950134,0.001
0.3476049304008484,0.8727678656578064,0.28822872042655945,0.9046822786331177,0.001
0.28461843729019165,0.8978794813156128,0.24568051099777222,0.9214046597480774,0.001
0.24767538905143738,0.9135044813156128,0.227491095662117,0.9230769276618958,0.001
0.22692249715328217,0.9157366156578064,0.20135411620140076,0.9347826242446899,0.001
0.20585472881793976,0.9280133843421936,0.1947602480649948,0.9364548325538635,0.001
0.19411662220954895,0.9246651530265808,0.19771811366081238,0.9297658801078796,0.001
0.19303889572620392,0.9268973469734192,0.17584919929504395,0.9431437849998474,0.001
0.1769392341375351,0.9341517686843872,0.17150726914405823,0.9448160529136658,0.001
0.17304611206054688,0.9358258843421936,0.17321093380451202,0.9381271004676819,0.001
0.16766496002674103,0.9397321343421936,0.1645808219909668,0.9498327970504761,0.001
0.1559544801712036,0.9386160969734192,0.16267502307891846,0.9481605291366577,0.001
0.15844137966632843,0.9453125,0.16207978129386902,0.9498327970504761,0.001
0.15801814198493958,0.9419642686843872,0.1684015691280365,0.9464883208274841,0.001
0.149618461728096,0.9469866156578064,0.1656748354434967,0.9498327970504761,0.001
0.14561374485492706,0.9475446343421936,0.15986299514770508,0.9498327970504761,0.001
0.1457807570695877,0.9481026530265808,0.15153764188289642,0.9464883208274841,0.001
0.13318394124507904,0.94921875,0.16559067368507385,0.9448160529136658,0.001
0.13992761075496674,0.9458705186843872,0.1508575826883316,0.9448160529136658,0.001
0.13984982669353485,0.9486607313156128,0.1585869938135147,0.9448160529136658,0.001
0.13316108286380768,0.9508928656578064,0.1828416883945465,0.9431437849998474,0.001
0.1316046565771103,0.9497767686843872,0.14895571768283844,0.9498327970504761,0.001
0.12853692471981049,0.9481026530265808,0.14948603510856628,0.9515050053596497,0.001
0.12635616958141327,0.9520089030265808,0.1505098044872284,0.9548494815826416,0.001
0.12134873867034912,0.9547991156578064,0.1520104855298996,0.9431437849998474,0.001
0.14163579046726227,0.9453125,0.16128042340278625,0.9464883208274841,0.001
0.134959414601326,0.9441964030265808,0.1494116634130478,0.9515050053596497,0.001
0.12647946178913116,0.9525669813156128,0.14764556288719177,0.9448160529136658,0.00020000001
0.12225842475891113,0.9547991156578064,0.15433955192565918,0.9481605291366577,0.00020000001
0.11524350196123123,0.9525669813156128,0.1523498296737671,0.9481605291366577,0.00020000001
